Tool,Phase,Case,Run,Scenario,Artifact,Iteration,Metric,Value
Redland,Read,ConnectedSegments,1,Batch,1,1,Time,83241940
Redland,Check,ConnectedSegments,1,Batch,1,1,Time,15198482037
Redland,Check,ConnectedSegments,1,Batch,1,1,Matches,0
Redland,Read,RouteSensor,1,Batch,1,1,Time,83241940
Redland,Check,RouteSensor,1,Batch,1,1,Time,2559449196
Redland,Check,RouteSensor,1,Batch,1,1,Matches,0
Redland,Read,SemaphoreNeighbor,1,Batch,1,1,Time,83241940
Redland,Check,SemaphoreNeighbor,1,Batch,1,1,Time,122190184116
Redland,Check,SemaphoreNeighbor,1,Batch,1,1,Matches,0
Redland,Read,SwitchSet,1,Batch,1,1,Time,83241940
Redland,Check,SwitchSet,1,Batch,1,1,Time,3305343866
Redland,Check,SwitchSet,1,Batch,1,1,Matches,0
Redland,Read,ConnectedSegments,1,Batch,2,1,Time,183603048
Redland,Check,ConnectedSegments,1,Batch,2,1,Time,41775595188
Redland,Check,ConnectedSegments,1,Batch,2,1,Matches,0
Redland,Read,RouteSensor,1,Batch,2,1,Time,183603048
Redland,Check,RouteSensor,1,Batch,2,1,Time,8412606001
Redland,Check,RouteSensor,1,Batch,2,1,Matches,0
Redland,Read,SemaphoreNeighbor,1,Batch,2,1,Time,183603048
Redland,Check,SemaphoreNeighbor,1,Batch,2,1,Time,462249575853
Redland,Check,SemaphoreNeighbor,1,Batch,2,1,Matches,0
Redland,Read,SwitchSet,1,Batch,2,1,Time,183603048
Redland,Check,SwitchSet,1,Batch,2,1,Time,10649061918
Redland,Check,SwitchSet,1,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,4,Batch,16,1,Time,867201582
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,16,1,Time,49796806
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,2,1,Time,339996417
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,2,1,Time,57494316
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,64,1,Time,4378665428
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,64,1,Time,5667571753
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,1,1,Time,137769065
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,1,1,Time,23922913
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,128,1,Time,10747840223
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,128,1,Time,11081557221
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,1,Batch,128,1,Time,10270592702
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,128,1,Time,777617329
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,1,1,Time,456031914
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,1,1,Time,427310092
Jena_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,64,1,Time,4362709514
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,64,1,Time,720039779
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,5,Batch,1,1,Time,150455537
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,1,1,Time,28048333
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,5,Batch,256,1,Time,17618594336
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,256,1,Time,17398081859
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,64,1,Time,5423782683
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,64,1,Time,620288352
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,64,1,Time,3560618066
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,64,1,Time,391874990
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,2,Batch,2,1,Time,212871462
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,2,1,Time,35250416
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,4,Batch,4,1,Time,385992622
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,4,1,Time,40438229
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,4,Batch,64,1,Time,3197392075
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,64,1,Time,5132429772
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,2,1,Time,202011857
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,2,1,Time,25422860
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,16,1,Time,1380422790
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,16,1,Time,95814469
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,16,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,3,Batch,64,1,Time,3826274008
Jena_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,64,1,Time,541695469
Jena_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,8,1,Time,762339877
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,8,1,Time,27342903
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,1,1,Time,658749716
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,1,1,Time,484131553
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,2,1,Time,140720776
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,2,1,Time,14448216797
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,4,1,Time,1288188020
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,4,1,Time,102146302281
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,1,Batch,16,1,Time,2313660343
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,16,1,Time,1752959579
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,1,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,4,Batch,32,1,Time,1658732874
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,32,1,Time,2829052824
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,16,1,Time,975989070
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,16,1,Time,1368474002
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,16,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,2,Batch,256,1,Time,18753322732
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,256,1,Time,893722023
Jena_(No_Inferencing),Check,RouteSensor,2,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,2,Batch,256,1,Time,19133586245
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,256,1,Time,609233133
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,4,Batch,2,1,Time,227163434
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,2,1,Time,43783526
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,1,1,Time,39254937
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,1,1,Time,5147139219
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,3,Batch,1,1,Time,119917883
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,1,1,Time,28855089
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,32,1,Time,1895666395
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,32,1,Time,3053438237
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,5,Batch,4,1,Time,145890952
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,4,1,Time,290148385
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,128,1,Time,7523670580
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,128,1,Time,962718329
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,3,Batch,4,1,Time,301074862
Jena_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,4,1,Time,46795689
Jena_(No_Inferencing),Check,SemaphoreNeighbor,3,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,5,Batch,2,1,Time,130527097
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,2,1,Time,20724007
Jena_(No_Inferencing),Check,SemaphoreNeighbor,5,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,4,Batch,2,1,Time,149694970
Jena_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,2,1,Time,22197316
Jena_(No_Inferencing),Check,SemaphoreNeighbor,4,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,2,1,Time,244153278
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,2,1,Time,54187884
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,2,Batch,4,1,Time,318001482
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,4,1,Time,11147986
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,4,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,64,1,Time,4136408974
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,64,1,Time,177458833
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,5,Batch,16,1,Time,679387307
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,16,1,Time,1273211356
Sesame_(No_Inferencing),Check,ConnectedSegments,5,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,3,Batch,16,1,Time,927266951
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,16,1,Time,161795327
Sesame_(No_Inferencing),Check,SwitchSet,3,Batch,16,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,3,Batch,256,1,Time,17175817342
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,256,1,Time,8882247772
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,256,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,128,1,Time,8633057879
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,128,1,Time,10338390330
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,2,Batch,1,1,Time,89670391
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,1,1,Time,14199992
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,1,1,Time,79618536
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,1,1,Time,107705350
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,4,Batch,128,1,Time,6846474427
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,128,1,Time,52912398
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,4,Batch,1,1,Time,71636186
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,1,1,Time,93683353
Sesame_(No_Inferencing),Check,ConnectedSegments,4,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,4,Batch,16,1,Time,682242869
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,16,1,Time,11256611
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,16,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,2,Batch,128,1,Time,8451309681
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,128,1,Time,85569550
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,4,Batch,64,1,Time,3124409188
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,64,1,Time,25465899
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,5,Batch,2,1,Time,134299641
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,2,1,Time,23926849
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,4,1,Time,430701628
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,4,1,Time,53231577
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,1,Batch,2,1,Time,715858531
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,2,1,Time,274962822
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,8,1,Time,1327924364
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,8,1,Time,1034390892
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,2,Batch,32,1,Time,2499897500
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,32,1,Time,164667802
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,1,1,Time,642661926
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,1,1,Time,590844824
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,32,1,Time,1896304514
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,32,1,Time,12359446
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,1,1,Time,106443609
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,1,1,Time,13192061
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,1,1,Time,133737382
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,1,1,Time,12977109
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,1,Batch,32,1,Time,3805164460
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,32,1,Time,640729477
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,64,1,Time,3531086148
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,64,1,Time,5118846175
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,8,1,Time,390977194
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,8,1,Time,548400719
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,2,Batch,4,1,Time,402546312
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,4,1,Time,115047347
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,4,Batch,16,1,Time,1130705350
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,16,1,Time,87166242
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,64,1,Time,5960866654
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,64,1,Time,222613019
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,5,Batch,64,1,Time,3647970529
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,64,1,Time,123352266
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,128,1,Time,8348852716
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Time,424166944
Jena_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,1,Batch,4,1,Time,914295464
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,4,1,Time,395268244
Jena_(No_Inferencing),Check,RouteSensor,1,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,4,Batch,256,1,Time,16917137650
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,256,1,Time,368915703
Sesame_(No_Inferencing),Check,RouteSensor,4,Batch,256,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,4,Batch,8,1,Time,551331251
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,8,1,Time,16643330
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,3,Batch,8,1,Time,663792187
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,8,1,Time,38342785
Sesame_(No_Inferencing),Check,RouteSensor,3,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,5,Batch,4,1,Time,224971339
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,4,1,Time,103810328
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,1,Batch,64,1,Time,6092161437
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,64,1,Time,869260633
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,4,Batch,8,1,Time,398940378
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,8,1,Time,99696826
Jena_(No_Inferencing),Check,ConnectedSegments,4,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,2,1,Time,670231850
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,2,1,Time,544341319
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,3,Batch,4,1,Time,322329229
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,4,1,Time,165680652
Jena_(No_Inferencing),Check,ConnectedSegments,3,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,5,Batch,128,1,Time,8868213750
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Time,166667793
Sesame_(No_Inferencing),Check,RouteSensor,5,Batch,128,1,Matches,0
Sesame_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,32,1,Time,2110059092
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,32,1,Time,4027693345
Sesame_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,SemaphoreNeighbor,2,Batch,1,1,Time,141335787
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,1,1,Time,19715233
Jena_(No_Inferencing),Check,SemaphoreNeighbor,2,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,1,Batch,32,1,Time,2980099476
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,32,1,Time,314462023
Sesame_(No_Inferencing),Check,RouteSensor,1,Batch,32,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,4,Batch,128,1,Time,8176918531
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,128,1,Time,323121250
Jena_(No_Inferencing),Check,RouteSensor,4,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,2,1,Time,174800248
